# Exact diagonalization results provided by
# https://alps.comp-phys.org/groupcodes/groupcodes/gukel/majoranaphotons/lindbladtebd/evolve_3sites.py
# Copyright (C) 2013 by Jan Gukelberger <gukelberger@phys.ethz.ch>
#
# time                    n_1                      n_2                      n_3
2.000000000000000042e-02 3.967069604837154362e-04 9.912385009160933347e-01 3.967069604837154904e-04
4.000000000000000083e-02 1.572924851251431607e-03 9.809814703527823809e-01 1.572924851251431824e-03
5.999999999999999778e-02 3.506201540137155077e-03 9.692733066776352269e-01 3.506201540137156378e-03
8.000000000000000167e-02 6.172040533340241060e-03 9.561625010125175406e-01 6.172040533340245397e-03
1.000000000000000056e-01 9.544012325464564309e-03 9.417014145013947735e-01 9.544012325464572982e-03
1.200000000000000094e-01 1.359387024274782627e-02 9.259460465920098526e-01 1.359387024274784014e-02
1.399999999999999856e-01 1.829167033313529311e-02 9.089557952241265060e-01 1.829167033313531393e-02
1.600000000000000033e-01 2.360589485083694136e-02 8.907932098290567424e-01 2.360589485083697259e-02
1.799999999999999933e-01 2.950357887855150490e-02 8.715237380541041023e-01 2.950357887855154654e-02
1.999999999999999833e-01 3.595043962763487533e-02 8.512154671313676424e-01 3.595043962763494472e-02
2.200000000000000011e-01 4.291100795511883226e-02 8.299388608130896516e-01 4.291100795511892940e-02
2.399999999999999911e-01 5.034876163662841547e-02 8.077664927954510965e-01 5.034876163662852649e-02
2.600000000000000089e-01 5.822625993587932092e-02 7.847727775494478530e-01 5.822625993587946663e-02
2.800000000000000266e-01 6.650527901453012758e-02 7.610336994712989522e-01 6.650527901453030799e-02
3.000000000000000444e-01 7.514694773068528177e-02 7.366265412557890802e-01 7.514694773068547606e-02
3.200000000000000067e-01 8.411188338025683831e-02 7.116296123841322485e-01 8.411188338025708811e-02
3.400000000000000244e-01 9.336032694265443410e-02 6.861219786034127299e-01 9.336032694265472553e-02
3.600000000000000422e-01 1.028522774008370777e-01 6.601831932575332740e-01 1.028522774008374108e-01
3.800000000000000044e-01 1.125476247155833276e-01 6.338930313099594427e-01 1.125476247155837439e-01
4.000000000000000222e-01 1.224062810448607597e-01 6.073312268764926580e-01 1.224062810448612038e-01
4.200000000000000400e-01 1.323883098113506074e-01 5.805772150619603611e-01 1.323883098113510792e-01
4.400000000000000022e-01 1.424540522344507343e-01 5.537098788681754646e-01 1.424540522344512894e-01
4.600000000000000200e-01 1.525642509573774674e-01 5.268073019119199341e-01 1.525642509573781058e-01
4.800000000000000377e-01 1.626801704152535388e-01 4.999465276611783637e-01 1.626801704152543160e-01
5.000000000000000000e-01 1.727637136062409040e-01 4.732033258655031771e-01 1.727637136062417367e-01
5.200000000000000178e-01 1.827775349447841868e-01 4.466519668223737916e-01 1.827775349447851028e-01
5.400000000000000355e-01 1.926851488938091383e-01 4.203650040858645243e-01 1.926851488938101375e-01
5.600000000000000533e-01 2.024510340911947204e-01 3.944130661869788002e-01 2.024510340911958028e-01
5.800000000000000711e-01 2.120407327049436685e-01 3.688646578967993972e-01 2.120407327049448620e-01
5.999999999999999778e-01 2.214209447711364132e-01 3.437859715242835845e-01 2.214209447711376622e-01
6.199999999999999956e-01 2.305596172888980666e-01 3.192407087002411270e-01 2.305596172888993711e-01
6.400000000000000133e-01 2.394260278671654085e-01 2.952899130579205167e-01 2.394260278671668241e-01
6.600000000000000311e-01 2.479908627389335873e-01 2.719918141788419397e-01 2.479908627389350861e-01
6.800000000000000488e-01 2.562262889798214149e-01 2.494016831301973935e-01 2.562262889798230803e-01
7.000000000000000666e-01 2.641060207891473555e-01 2.275716998774336142e-01 2.641060207891490208e-01
7.200000000000000844e-01 2.716053797131762204e-01 2.065508328126918480e-01 2.716053797131779413e-01
7.399999999999999911e-01 2.787013487117220301e-01 1.863847305967384349e-01 2.787013487117239174e-01
7.600000000000000089e-01 2.853726199907863359e-01 1.671156264690211724e-01 2.853726199907883898e-01
7.800000000000000266e-01 2.915996365453211725e-01 1.487822551376727365e-01 2.915996365453233929e-01
8.000000000000000444e-01 2.973646273774548932e-01 1.314197823187834568e-01 2.973646273774572801e-01
8.200000000000000622e-01 3.026516363765422435e-01 1.150597469522191135e-01 3.026516363765447970e-01
8.400000000000000799e-01 3.074465448681342750e-01 9.973001607979097016e-02 3.074465448681369395e-01
8.599999999999999867e-01 3.117370878593464512e-01 8.545475233081994970e-02 3.117370878593492267e-01
8.800000000000000044e-01 3.155128640280722152e-01 7.225439392019861184e-02 3.155128640280751018e-01
9.000000000000000222e-01 3.187653395229887443e-01 6.014564702505584975e-02 3.187653395229916309e-01
9.200000000000000400e-01 3.214878456602746071e-01 4.914149036818353522e-02 3.214878456602775492e-01
9.400000000000000577e-01 3.236755706213529926e-01 3.925119179959719873e-02 3.236755706213561012e-01
9.600000000000000755e-01 3.253255452737371933e-01 3.048033663207470531e-02 3.253255452737404685e-01
9.799999999999999822e-01 3.264366232541421331e-01 2.283086745234367068e-02 3.264366232541455193e-01
1.000000000000000000e+00 3.270094554693918076e-01 1.630113509685746434e-02 3.270094554693953048e-01
1.020000000000000018e+00 3.270464591862535242e-01 1.088596044989658881e-02 3.270464591862571324e-01
1.040000000000000036e+00 3.265517818961298224e-01 6.576706692131189039e-03 3.265517818961334862e-01
1.060000000000000053e+00 3.255312601545032880e-01 3.361361599853805292e-03 3.255312601545070073e-01
