# Exact diagonalization results provided by
# https://alps.comp-phys.org/groupcodes/groupcodes/gukel/majoranaphotons/lindbladtebd/evolve_3sites.py
# Copyright (C) 2013 by Jan Gukelberger <gukelberger@phys.ethz.ch>
#
# time                    n_1                      n_2                      n_3
2.000000000000000042e-02 9.897461001961383397e-05 2.473069707088825786e-01 9.897461001961383397e-05
4.000000000000000083e-02 3.924184464307587435e-04 2.447479427558200693e-01 3.924184464307587977e-04
5.999999999999999778e-02 8.746969683454186096e-04 2.418269596134567101e-01 8.746969683454192601e-04
8.000000000000000167e-02 1.539645913062765445e-03 2.385562245952561611e-01 1.539645913062765228e-03
1.000000000000000056e-01 2.380601253854247937e-03 2.349489415404368009e-01 2.380601253854248804e-03
1.200000000000000094e-01 3.390430459981753041e-03 2.310192522859857434e-01 3.390430459981751739e-03
1.399999999999999856e-01 4.561564905982043450e-03 2.267821718402033560e-01 4.561564905982043450e-03
1.600000000000000033e-01 5.886033275463203179e-03 2.222535215672876430e-01 5.886033275463204047e-03
1.799999999999999933e-01 7.355495804011472072e-03 2.174498606937581013e-01 7.355495804011478143e-03
1.999999999999999833e-01 8.961279206254117030e-03 2.123884164466318114e-01 8.961279206254125704e-03
2.200000000000000011e-01 1.069441213360251830e-02 2.070870131302976758e-01 1.069441213360253912e-02
2.399999999999999911e-01 1.254566101163374740e-02 2.015640004441781041e-01 1.254566101163376128e-02
2.600000000000000089e-01 1.450556610937035230e-02 1.958381813366505686e-01 1.450556610937037659e-02
2.800000000000000266e-01 1.656447769679053258e-02 1.899287396825725394e-01 1.656447769679056381e-02
3.000000000000000444e-01 1.871259215164212258e-02 1.838551680622535212e-01 1.871259215164216422e-02
3.200000000000000067e-01 2.093998788193816157e-02 1.776371959091277986e-01 2.093998788193819974e-02
3.400000000000000244e-01 2.323666093627439061e-02 1.712947182818371772e-01 2.323666093627442530e-02
3.600000000000000422e-01 2.559256018022513721e-02 1.648477255042193335e-01 2.559256018022516843e-02
3.800000000000000044e-01 2.799762192344680198e-02 1.583162339039343447e-01 2.799762192344685055e-02
4.000000000000000222e-01 3.044180388865259934e-02 1.517202178674089408e-01 3.044180388865264444e-02
4.200000000000000400e-01 3.291511842023750467e-02 1.450795434155353336e-01 3.291511842023753937e-02
4.400000000000000022e-01 3.540766483695295674e-02 1.384139034913276500e-01 3.540766483695302613e-02
4.600000000000000200e-01 3.790966083959386446e-02 1.317427551376087191e-01 3.790966083959395466e-02
4.800000000000000377e-01 4.041147289111261115e-02 1.250852587298985352e-01 4.041147289111265278e-02
5.000000000000000000e-01 4.290364549287980361e-02 1.184602194170636669e-01 4.290364549287986606e-02
5.200000000000000178e-01 4.537692928693758121e-02 1.118860309100367934e-01 4.537692928693762978e-02
5.400000000000000355e-01 4.782230792001772313e-02 1.053806217470601714e-01 4.782230792001779252e-02
5.600000000000000533e-01 5.023102361082664585e-02 9.896140415244814026e-02 5.023102361082672218e-02
5.800000000000000711e-01 5.259460136762161148e-02 9.264522559482214759e-02 5.259460136762170862e-02
5.999999999999999778e-01 5.490487180843527104e-02 8.644832314009917584e-02 5.490487180843541676e-02
6.199999999999999956e-01 5.715399254146373564e-02 8.038628068420869410e-02 5.715399254146394381e-02
6.400000000000000133e-01 5.933446806813356261e-02 7.447398914050062935e-02 5.933446806813377772e-02
6.600000000000000311e-01 6.143916817623763793e-02 6.872560964706800335e-02 6.143916817623786691e-02
6.800000000000000488e-01 6.346134479529837169e-02 6.315453984966695744e-02 6.346134479529860761e-02
7.000000000000000666e-01 6.539464729100792628e-02 5.777338330653244980e-02 6.539464729100818996e-02
7.200000000000000844e-01 6.723313618023796234e-02 5.259392205210446786e-02 6.723313618023821214e-02
7.399999999999999911e-01 6.897129525272525929e-02 4.762709234745450548e-02 6.897129525272550910e-02
7.600000000000000089e-01 7.060404209014370380e-02 4.288296363598582961e-02 7.060404209014402299e-02
7.800000000000000266e-01 7.212673697788986316e-02 3.837072071375884769e-02 7.212673697789018235e-02
8.000000000000000444e-01 7.353519020953558361e-02 3.409864911452722969e-02 7.353519020953594443e-02
8.200000000000000622e-01 7.482566778856199197e-02 3.007412370026360179e-02 7.482566778856233891e-02
8.400000000000000799e-01 7.599489553665673969e-02 2.630360043860324737e-02 7.599489553665718378e-02
8.599999999999999867e-01 7.704006162255391810e-02 2.279261133925261987e-02 7.704006162255440382e-02
8.800000000000000044e-01 7.795881753008211679e-02 1.954576251202600617e-02 7.795881753008265802e-02
9.000000000000000222e-01 7.874927748877001699e-02 1.656673529981626120e-02 7.874927748877054434e-02
9.200000000000000400e-01 7.941001639499367659e-02 1.385829043052727409e-02 7.941001639499417619e-02
9.400000000000000577e-01 7.994006625623038820e-02 1.142227512283908869e-02 7.994006625623092943e-02
9.600000000000000755e-01 8.033891119546894555e-02 9.259633071707341206e-03 8.033891119546951454e-02
9.799999999999999822e-01 8.060648105718622169e-02 7.370417230773105254e-03 8.060648105718683232e-02
1.000000000000000000e+00 8.074314366051107972e-02 5.753805300445052374e-03 8.074314366051178748e-02
1.020000000000000018e+00 8.074969574921307680e-02 4.408117822375397406e-03 8.074969574921379845e-02
1.040000000000000036e+00 8.062735269195715759e-02 3.330838773448001854e-03 8.062735269195787924e-02
1.060000000000000053e+00 8.037773698981831583e-02 2.518638545291078043e-03 8.037773698981900972e-02
1.080000000000000071e+00 8.000286565132734562e-02 1.967399188771055529e-03 8.000286565132805339e-02
1.100000000000000089e+00 7.950513649829735185e-02 1.672241796967401236e-03 7.950513649829808738e-02
1.120000000000000107e+00 7.888731346834099156e-02 1.627555894809654255e-03 7.888731346834175484e-02
1.140000000000000124e+00 7.815251098231121296e-02 1.827030698909388150e-03 7.815251098231200400e-02
1.160000000000000142e+00 7.730417744687764769e-02 2.263688107163252042e-03 7.730417744687841097e-02
1.179999999999999938e+00 7.634607796407592850e-02 2.929917274451183332e-03 7.634607796407667790e-02
1.199999999999999956e+00 7.528227632094101895e-02 3.817510628209293266e-03 7.528227632094185162e-02
1.219999999999999973e+00 7.411711633325580861e-02 4.917701175813249392e-03 7.411711633325665516e-02
1.239999999999999991e+00 7.285520261802497233e-02 6.221200954550206753e-03 7.285520261802583275e-02
1.260000000000000009e+00 7.150138086953465588e-02 7.718240474461967454e-03 7.150138086953553018e-02
1.280000000000000027e+00 7.006071771378616364e-02 9.398609004477927187e-03 7.006071771378707957e-02
1.300000000000000044e+00 6.853848021572980787e-02 1.125169555298954731e-02 6.853848021573072380e-02
1.320000000000000062e+00 6.694011511307892959e-02 1.326653039530293655e-02 6.694011511307984552e-02
1.340000000000000080e+00 6.527122784958783175e-02 1.543182700220277481e-02 6.527122784958873380e-02
1.360000000000000098e+00 6.353756147954778277e-02 1.773602422611936583e-02 6.353756147954862932e-02
1.380000000000000115e+00 6.174497551391813777e-02 2.016732860406389785e-02 6.174497551391899125e-02
1.400000000000000133e+00 5.989942477698893819e-02 2.271375663953907609e-02 5.989942477698983331e-02
1.420000000000000151e+00 5.800693834078905764e-02 2.536317692899655793e-02 5.800693834078993888e-02
1.439999999999999947e+00 5.607359860263163437e-02 2.810335200205683892e-02 5.607359860263255030e-02
1.459999999999999964e+00 5.410552056924786135e-02 3.092197974859148268e-02 5.410552056924876341e-02
1.479999999999999982e+00 5.210883140891221788e-02 3.380673430985739469e-02 5.210883140891312687e-02
1.500000000000000000e+00 5.008965033083313811e-02 3.674530631513884399e-02 5.008965033083404711e-02
1.520000000000000018e+00 4.805406884887214458e-02 3.972544234976770755e-02 4.805406884887305358e-02
1.540000000000000036e+00 4.600813148438417932e-02 4.273498354493819595e-02 4.600813148438510219e-02
1.560000000000000053e+00 4.395781696063949529e-02 4.576190318439408988e-02 4.395781696064043897e-02
1.580000000000000071e+00 4.190901993890451538e-02 4.879434322783397088e-02 4.190901993890550070e-02
1.600000000000000089e+00 3.986753334382554803e-02 5.182064965574578047e-02 3.986753334382652642e-02
1.620000000000000107e+00 3.783903132327527674e-02 5.482940654535080338e-02 3.783903132327619961e-02
